mode,users,runs,throughput_avg,throughput_min,throughput_max,total_s_avg,total_s_min,total_s_max,success_rate_avg,success_rate_min,success_rate_max
redis,2,2,17.69975,17.0176,18.3819,56.581950000000006,54.4012,58.7627,50.0,50.0,50.0
redis,4,2,48.2943,48.1694,48.4192,20.70655,20.653,20.7601,50.0,50.0,50.0
redis,8,2,83.36085,70.8196,95.9021,12.27385,10.4273,14.1204,50.0,50.0,50.0
redis,16,2,110.11815,47.9665,172.2698,13.32635,5.8048,20.8479,50.0,50.0,50.0
redis,32,2,162.2847,45.7263,278.8431,12.72775,3.5862,21.8693,50.0,50.0,50.0
redis,64,2,331.4122,293.927,368.8974,3.0564999999999998,2.7108,3.4022,50.0,50.0,50.0
redis,128,2,396.4837,395.1748,397.7926,2.5221999999999998,2.5139,2.5305,50.0,50.0,50.0
redis,256,2,346.26155,293.2058,399.3173,2.95745,2.5043,3.4106,50.0,50.0,50.0
